,Date,Global_Temp_Avg,Warming_Velocity_12m,Warming_Velocity_10y,Temp_Volatility_12m,Trend_Component,Seasonal_Component,Residual_Component
137,1861-06-01,-0.41,-0.016,-0.104,0.1737,-0.5177234054323829,0.1036480980878093,0.0040753073445736
138,1861-07-01,-0.455,-0.025,-0.233,0.1722,-0.5235597713600488,0.0551313057907319,0.0134284655693168
139,1861-08-01,-0.395,-0.005,-0.115,0.1717,-0.5303951845954538,0.0777331187267078,0.0576620658687458
140,1861-09-01,-0.448,-0.093,-0.142,0.1636,-0.5385921488553288,0.0941263501672827,-0.0035342013119539
141,1861-10-01,-0.557,-0.028,-0.326,0.1633,-0.547583423242423,0.0027738489245222,-0.0121904256820992
142,1861-11-01,-0.378,0.172,-0.077,0.1723,-0.5567797035459706,-0.0116662313891166,0.1904459349350872
143,1861-12-01,-0.568,0.179,-0.224,0.1615,-0.5657826601112658,0.0210851523910694,-0.0233024922798036
144,1862-01-01,-0.825,-0.064,-0.385,0.1703,-0.5739011321402093,-0.2237524308342169,-0.0273464370255737
145,1862-02-01,-0.827,0.064,-0.275,0.1591,-0.581076707883887,-0.1830955286486583,-0.0628277634674545
146,1862-03-01,-0.679,-0.156,-0.003,0.164,-0.587543064786838,-0.0634622366792582,-0.0279946985339037
147,1862-04-01,-0.575,-0.164,0.034,0.1579,-0.5932623392217976,0.023444299628971,-0.0051819604071733
148,1862-05-01,-0.489,0.181,-0.187,0.1556,-0.5975162163112981,0.097922091158113,0.010594125153185
149,1862-06-01,-0.46,-0.05,-0.243,0.1521,-0.5995768036111344,0.1146558357438535,0.0249209678672808
150,1862-07-01,-0.52,-0.065,-0.339,0.1494,-0.5994763562988646,0.0859765977608473,-0.0065002414619826
151,1862-08-01,-0.583,-0.188,-0.308,0.1401,-0.5987032683547906,0.0622270267085814,-0.0465237583537908
152,1862-09-01,-0.53,-0.082,-0.345,0.1352,-0.6001511097395215,0.0540052253217535,0.0161458844177678
153,1862-10-01,-0.514,0.043,-0.23,0.1365,-0.6044109918883248,-0.0041708406608185,0.0945818325491433
154,1862-11-01,-0.638,-0.26,-0.345,0.1215,-0.6092982588541636,0.0152745389235005,-0.0439762800693369
155,1862-12-01,-0.943,-0.375,-0.695,0.1557,-0.6137440606712697,0.0184881081789703,-0.3477440475077006
156,1863-01-01,-0.463,0.362,-0.004,0.1499,-0.6174299117934302,-0.2067205630205637,0.3611504748139938
157,1863-02-01,-0.558,0.269,-0.093,0.1322,-0.6198476950165344,-0.1857789642616498,0.2476266592781841
158,1863-03-01,-0.509,0.17,-0.063,0.1296,-0.6209832555116725,-0.0739532325388197,0.1859364880504922
159,1863-04-01,-0.43,0.145,0.024,0.1353,-0.6216045277618045,-0.0137892934619568,0.2053938212237613
160,1863-05-01,-0.51,-0.021,-0.141,0.1345,-0.6227380780940645,0.1017144826377049,0.0110235954563594
161,1863-06-01,-0.577,-0.117,-0.336,0.1312,-0.6249815382423782,0.1327043825839485,-0.0847228443415702
162,1863-07-01,-0.552,-0.032,-0.373,0.1305,-0.6267601787502213,0.1187777748410748,-0.0440175960908536
